,City,Country,Lat,Lng,Date,Cloudiness,Max. Temp.,Humidity,Wind Speed
244,Mount Gambier,AU,-37.8333,140.7667,1632202215,90,53.51,71,14.97
245,Belen,TR,36.4891,36.2233,1632202216,0,62.74,94,3.44
246,Alice Springs,AU,-23.7,133.8833,1632202026,3,63.95,24,17.27
247,Kigoma,TZ,-4.8769,29.6267,1632202217,24,79.9,53,4.54
248,Half Moon Bay,US,37.4636,-122.4286,1632202217,1,73.31,35,0.0
249,Tsumeb,NA,-19.2333,17.7167,1632202218,43,58.55,15,21.94
250,Freetown,SL,8.484,-13.2299,1632202146,99,76.8,88,4.52
251,Narsaq,GL,60.9167,-46.05,1632202220,1,32.22,45,4.92
252,Laas,IT,46.6166,10.7002,1632202220,52,54.48,88,3.62
253,Dawlatabad,AF,36.4141,64.9053,1632202221,0,80.06,16,4.7
254,Pinheiral,BR,-22.5128,-44.0006,1632202222,22,67.33,75,2.86
255,Utrera,ES,37.1852,-5.7809,1632202222,0,64.09,88,6.91
256,Maumere,ID,-8.6199,122.2111,1632202223,23,85.14,53,2.55
257,Iranshahr,IR,27.2025,60.6848,1632202164,0,91.74,38,4.61
258,Yar-Sale,RU,66.8333,70.8333,1632202225,100,37.38,97,11.05
259,Nuuk,GL,64.1835,-51.7216,1632202226,20,32.61,80,2.3
260,Batemans Bay,AU,-35.7167,150.1833,1632202212,47,58.96,45,15.93
261,Marzuq,YE,14.4,46.4667,1632202227,45,84.47,41,3.49
262,Koshurnikovo,RU,54.1667,93.3,1632202227,98,42.1,74,9.01
263,Jérémie,HT,18.65,-74.1167,1632202228,49,79.09,73,4.56
264,Kīhei,US,20.785,-156.4656,1632202229,20,78.82,61,13.8
265,Valley City,US,46.9233,-98.0032,1632202230,1,54.34,87,10.36
266,Ayan,RU,56.45,138.1667,1632202231,0,52.09,46,5.23
267,Wilmington,US,34.2257,-77.9447,1632202161,20,78.71,94,8.05
268,Zhangaözen,KZ,43.3,52.8,1632202232,81,72.64,14,17.43
269,Mineiros,BR,-17.5694,-52.5511,1632202232,36,73.72,22,2.13
270,Pangnirtung,CA,66.1451,-65.7125,1632202137,100,32.18,64,2.71
271,Saint George,US,37.1041,-113.5841,1632202233,1,72.19,16,13.8
272,Artyom,AZ,40.4723,50.333,1632202234,0,77.14,73,13.89
273,Algemesí,ES,39.1833,-0.4333,1632202234,89,61.29,73,4.29
274,Hithadhoo,MV,-0.6,73.0833,1632202236,100,83.59,74,12.24
275,Beeskow,DE,52.1667,14.25,1632202236,100,53.65,78,6.08
276,Dargaville,NZ,-35.9333,173.8833,1632202238,22,56.25,83,5.06
277,Orillia,CA,44.6087,-79.4207,1632202075,100,68.22,85,4.61
278,Pascagoula,US,30.3658,-88.5561,1632202217,20,80.65,100,0.0
279,Denpasar,ID,-8.65,115.2167,1632202011,20,85.66,79,12.66
280,Pevek,RU,69.7008,170.3133,1632202118,98,29.19,74,4.52
281,Bilma,NE,18.6853,12.9164,1632202240,3,84.11,15,6.62
282,Sayyan,YE,15.1718,44.3244,1632202241,25,71.17,21,9.26
283,Weinan,CN,34.5036,109.5089,1632202242,0,83.89,34,4.25
284,Yuancheng,CN,36.652,107.7896,1632202243,0,81.34,15,10.51
285,Maniitsoq,GL,65.4167,-52.9,1632202244,38,31.51,55,6.15
286,Algeciras,ES,36.1333,-5.4505,1632202244,90,69.57,94,6.91
287,Blyth,GB,55.1271,-1.5086,1632202245,0,50.79,93,6.91
288,Bloomington,US,44.8408,-93.2983,1632201994,90,57.9,85,14.97
289,Natá,PA,8.3333,-80.5167,1632202246,100,75.67,88,3.24
290,Altay,CN,47.8667,88.1167,1632202247,65,53.87,19,6.82
291,Guipavas,FR,48.4352,-4.3972,1632202247,90,55.45,96,1.14
292,Thunder Bay,CA,48.4001,-89.3168,1632202248,90,57.18,94,8.05
293,Daru,PG,-9.0763,143.2092,1632202248,92,77.99,89,15.19
294,Kandry,RU,54.5667,54.1167,1632202249,100,44.85,51,8.9
295,Tuktoyaktuk,CA,69.4541,-133.0374,1632202249,90,37.4,75,19.57
296,Níjar,ES,36.9665,-2.206,1632202250,75,69.44,78,16.11
297,Lanivtsi,UA,49.8633,26.0908,1632202251,100,41.18,95,14.85
298,Cabedelo,BR,-6.9811,-34.8339,1632202251,39,72.27,79,9.13
299,Mbigou,GA,-1.9005,11.906,1632202251,100,68.16,96,3.04
300,Bela,IN,25.9333,81.9833,1632202252,69,90.05,63,7.36
301,Matara,LK,5.9485,80.5353,1632202253,52,84.11,72,12.64
302,Korsør,DK,55.3299,11.1386,1632202254,96,43.25,67,6.11
303,Zhezkazgan,KZ,47.8043,67.7144,1632202254,2,53.19,30,12.15
304,Yangi Marg`ilon,UZ,40.4272,71.7189,1632202182,0,75.92,23,4.61
305,Septemvri,BG,42.2167,24.1,1632202256,48,63.57,63,8.72
306,Skjervøy,NO,70.0311,20.9714,1632202256,0,42.91,63,19.62
307,Fraga,ES,41.5229,0.3489,1632202257,97,56.23,82,2.01
308,Rocha,UY,-34.4833,-54.3333,1632202257,93,52.27,77,17.94
309,Teya,RU,60.3778,92.6267,1632202258,100,36.95,92,6.85
310,Podosinovets,RU,60.2776,47.0659,1632202259,95,39.18,71,5.84
311,Whitehorse,CA,60.7161,-135.0538,1632202259,90,43.57,87,14.97
312,Norman Wells,CA,65.282,-126.8329,1632202260,75,51.84,54,9.22
313,Necochea,AR,-38.5473,-58.7368,1632202261,0,44.83,81,7.4
314,Itarema,BR,-2.9248,-39.9167,1632202184,73,78.04,79,15.43
315,Chhaprauli,IN,29.2167,77.1833,1632202262,91,86.9,65,9.95
316,Homer,US,59.6425,-151.5483,1632202231,90,48.09,66,3.44
317,Ixtapa,MX,20.7,-105.2,1632202263,89,74.73,93,3.33
318,Phalombe,MW,-15.8064,35.6507,1632202263,0,73.58,30,4.52
319,Pechenga,RU,69.5259,31.1703,1632202264,21,36.46,79,16.51
320,Umluj,SA,25.0213,37.2685,1632202265,22,89.28,56,4.79
321,Agía Galíni,GR,35.1,24.6833,1632202266,0,74.79,39,2.48
322,Tupanciretã,BR,-29.0806,-53.8358,1632202266,100,62.08,93,17.05
323,Touros,BR,-5.1989,-35.4608,1632202048,85,72.5,77,13.49
324,Walvis Bay,NA,-22.9575,14.5053,1632202267,0,47.35,87,4.61
325,Karratha,AU,-20.7377,116.8463,1632202268,91,93.0,22,21.7
326,Srednekolymsk,RU,67.45,153.6833,1632202269,19,39.11,43,12.44
327,Yeppoon,AU,-23.1333,150.7333,1632202270,8,80.38,23,17.81
328,Petauke,ZM,-14.2426,31.3253,1632202271,1,74.19,24,5.86
329,Potsdam,DE,52.3989,13.0657,1632202271,99,53.73,79,5.1
330,Vardø,NO,70.3705,31.1107,1632202273,34,39.4,80,27.47
331,Ukiah,US,39.1502,-123.2078,1632202179,1,69.69,40,0.0
332,Puerto Quijarro,BO,-17.7833,-57.7667,1632202273,0,77.41,24,2.66
333,Tonantins,BR,-2.8731,-67.8022,1632202275,52,74.59,88,0.47
334,Urubichá,BO,-15.3833,-62.95,1632202275,83,83.16,38,2.06
335,Takoradze,GH,4.8845,-1.7554,1632202276,67,74.86,94,6.35
336,Svetlaya,RU,46.5389,138.3297,1632202276,100,59.31,68,1.21
337,Abancay,PE,-13.6339,-72.8814,1632202277,56,57.47,87,3.29
338,Ahipara,NZ,-35.1667,173.1667,1632202278,77,57.4,86,6.82
339,Kysyl-Syr,RU,63.8986,122.7617,1632202278,91,49.15,49,9.4
340,Mumford,GH,5.2618,-0.759,1632202279,42,75.15,94,8.61
341,Arica,CL,-18.475,-70.3042,1632202052,90,59.23,72,2.3
342,Nikolskoye,RU,59.7035,30.7861,1632202280,100,40.89,74,7.36
343,Lata,PT,40.1629,-8.3327,1632202280,0,57.61,69,7.05
344,Pemba,MZ,-12.974,40.5178,1632202281,40,75.9,73,3.44
345,San Quintín,MX,30.4833,-115.95,1632202251,0,68.77,80,4.5
346,Quelimane,MZ,-17.8786,36.8883,1632202282,0,64.35,88,0.0
347,Cockburn Town,TC,21.4612,-71.1419,1632202282,61,83.1,78,18.68
348,Labytnangi,RU,66.6572,66.4183,1632202283,100,43.18,83,13.31
349,Pierre,US,44.3683,-100.351,1632202122,1,56.32,62,13.8
350,Vostok,RU,46.4856,135.8833,1632202284,100,50.95,96,2.8
351,Ankazoabo,MG,-22.2833,44.5167,1632202285,0,79.32,38,4.76
352,Te Anau,NZ,-45.4167,167.7167,1632202285,74,45.61,87,5.66
353,Road Town,VG,18.4167,-64.6167,1632202286,89,78.89,77,2.46
354,Hamilton,US,39.1834,-84.5333,1632202286,20,69.19,94,0.0
355,Port Hawkesbury,CA,45.6169,-61.3485,1632202287,1,54.99,93,3.44
356,Warora,IN,20.2333,79.0,1632202288,87,85.23,73,7.58
357,Dawei,MM,14.0833,98.2,1632202289,100,78.08,92,5.44
